id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7679227,Home in Portland · ★4.82 · 4 bedrooms · 7 beds · 3 baths,2000049,Adam,,Sylvan-Highlands,45.51374,-122.73534,Entire home/apt,425,2,145,2023-11-25,1.46,1,165,20,City registration pending
9845184,Guesthouse in Portland · ★4.91 · 1 bedroom · 1 bed · 1 bath,12799701,Maggie,,Overlook,45.5534,-122.68126,Entire home/apt,72,2,222,2020-03-15,2.37,1,84,0,16-135233-000-00-HO
15987481,Guest suite in Portland · ★4.94 · 2 bedrooms · 2 beds · 1 bath,14968156,Michael,,Concordia,45.5642,-122.63582,Entire home/apt,235,1,462,2023-11-25,5.39,1,151,33,17-116595-000-00-HO
29665081,Rental unit in Portland · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,89568523,Lindsay,,Eliot,45.53608,-122.65872,Entire home/apt,126,2,287,2023-12-03,4.69,5,335,43,19-246704-000-00-HO
968040232556866373,Home in Portland · ★5.0 · 2 bedrooms · 2 beds · 1 bath,3142393,Amy,,Overlook,45.565588130512985,-122.68492083362781,Entire home/apt,82,1,11,2023-12-07,3.06,21,22,11,City registration pending
53280181,Home in Portland · ★4.68 · 2 bedrooms · 4 beds · 1 bath,162283241,Kimberly,,Hillsdale,45.4874,-122.71004,Entire home/apt,250,1,40,2023-11-21,1.59,1,359,21,22-209216-000-00-HO
25920079,Guest suite in Portland · ★4.94 · 2 bedrooms · 3 beds · 1 bath,156967556,Inna,,Parkrose,45.5492,-122.54259,Entire home/apt,98,1,211,2023-12-05,3.15,2,170,17,1825757300000HO
799449671971820583,Guest suite in Portland · ★5.0 · 1 bedroom · 1 bed · 1 bath,16151952,Michelle,,Laurelhurst,45.532773351498705,-122.62507516890764,Entire home/apt,60,1,3,2023-12-03,2.57,1,172,3,City registration pending
8421305,Home in Portland · ★4.83 · 1 bedroom · 2 beds · 2 shared baths,44352183,Holly Jo,,Kerns,45.52286,-122.63433,Private room,34,1,110,2020-03-15,1.10,2,202,0,17-155310-000-00-HO
35390383,Rental unit in Portland · ★4.97 · 1 bedroom · 1 bed · 1 bath,5231006,Dawn,,North Tabor,45.52504,-122.61213,Entire home/apt,53,2,37,2023-12-09,1.70,1,74,23,21-108025-000-00-HO
